2010-01-01|ATL|1610612737
2010-01-01|NYK|1610612752
2010-01-01|LAL|1610612747
2010-01-01|SAC|1610612758
2010-01-01|MIN|1610612750
2010-01-01|ORL|1610612753
2010-01-02|BOS|1610612738
2010-01-02|TOR|1610612761
2010-01-02|CHI|1610612741
2010-01-02|ORL|1610612753
2010-01-02|IND|1610612754
2010-01-02|MIN|1610612750
2010-01-02|MIA|1610612748
2010-01-02|CHA|1610612766
2010-01-02|MIL|1610612749
2010-01-02|OKC|1610612760
2010-01-02|NJN|1610612751
2010-01-02|CLE|1610612739
2010-01-02|NOH|1610612740
2010-01-02|HOU|1610612745
2010-01-02|PHO|1610612756
2010-01-02|MEM|1610612763
2010-01-02|POR|1610612757
2010-01-02|GSW|1610612744
2010-01-02|SAC|1610612758
2010-01-02|DAL|1610612742
2010-01-02|UTA|1610612762
2010-01-02|DEN|1610612743
2010-01-02|WAS|1610612745
2010-01-02|SAS|1610612759
2010-01-03|CLE|1610612739
2010-01-03|CHA|1610612766
2010-01-03|DEN|1610612743
2010-01-03|PHI|1610612755
2010-01-03|LAL|1610612747
2010-01-03|DAL|1610612742
2010-01-03|NYK|1610612752
2010-01-03|IND|1610612754
2010-01-03|TOR|1610612761
2010-01-03|SAS|1610612759
2010-01-04|CHI|1610612741
2010-01-04|OKC|1610612760
2010-01-04|LAC|1610612746
2010-01-04|POR|1610612757
2010-01-04|MIA|1610612748
2010-01-04|ATL|1610612737
2010-01-04|UTA|1610612762
2010-01-04|NOH|1610612740
2010-01-05|CHA|1610612766
2010-01-05|CHI|1610612741
2010-01-05|DAL|1610612742
2010-01-05|DET|1610612765
2010-01-05|DEN|1610612743
2010-01-05|GSW|1610612744
2010-01-05|IND|1610612754
2010-01-05|ORL|1610612753
2010-01-05|LAL|1610612747
2010-01-05|HOU|1610612745
2010-01-05|NJN|1610612751
2010-01-05|MIL|1610612749
2010-01-05|PHI|1610612755
2010-01-05|WAS|1610612745
2010-01-05|POR|1610612757
2010-01-05|MEM|1610612763
2010-01-05|SAC|1610612758
2010-01-05|PHO|1610612756
2010-01-06|ATL|1610612737
2010-01-06|NJN|1610612751
2010-01-06|CLE|1610612739
2010-01-06|WAS|1610612745
2010-01-06|LAC|1610612746
2010-01-06|LAL|1610612747
2010-01-06|MIA|1610612748
2010-01-06|BOS|1610612738
2010-01-06|MIN|1610612750
2010-01-06|GSW|1610612744
2010-01-06|OKC|1610612760
2010-01-06|NOH|1610612740
2010-01-06|ORL|1610612753
2010-01-06|TOR|1610612761
2010-01-06|PHO|1610612756
2010-01-06|HOU|1610612745
2010-01-06|SAS|1610612759
2010-01-06|DET|1610612765
2010-01-06|UTA|1610612762
2010-01-06|MEM|1610612763
2010-01-07|NYK|1610612752
2010-01-07|CHA|1610612766
2010-01-08|ATL|1610612737
2010-01-08|BOS|1610612738
2010-01-08|DEN|1610612743
2010-01-08|CLE|1610612739
2010-01-08|GSW|1610612744
2010-01-08|SAC|1610612758
